PathwayName,StartPathwayName,StartPoint,StartPoint_in_Path?,StartPath_ID,StartPoint_Count,EndPathwayName,EndPoint,EndPoint_in_Path?,EndPath_ID,EndPoint_Count,Longest_Short_Path,High_Degree_Path,Low_High_Degree_Path
DNA Repair,Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5444523"",""Formation of MSH1:PMS2 Complex"")",Yes,1,7,Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5683986"",""APBB1 and MAPK8 bind diphosphorylated H2AFX"")",Yes,"[1, 2, 3, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 21, 22, 23, 24]",19,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5683930"",""WICH phosphorylates H2AFX on Y142"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5444523"",""Formation of MSH1:PMS2 Complex"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9629365"",""NEIL3 recognizes and binds to spiroiminodihydantoin"")"
DNA Repair,Formation of Incision Complex in GG-NER,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5696465"",""USP45 deubiquitinates ERCC1"")",Yes,2,7,Stabilization of p53,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5693609"",""ATM phosphorylates TP53 at S15"")",Yes,"[1, 2, 3, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 21, 22, 23, 24]",19,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5693602"",""ATM recognizes H2AFX-Nucleosomes"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5358510"",""MSH2:MSH6 recruits MLH1:PMS2 to mismatch and interacts with PCNA"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9629492"",""NEIL3 cleaves spiroiminodihydantoin"")"
DNA Repair,Processing of DNA double-strand break ends,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5685953"",""SIRT6 deacetylates RBBP8"")",Yes,3,7,Cleavage of the damaged purine,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9629216"",""NEIL3 cleaves 5-guanidinohydantoin (Gh) from damaged telomeric DNA"")",Yes,[20],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5693549"",""ATM phosphorylates histone H2AFX on S139 at DNA DSBs"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5358518"",""MLH1:PMS2 makes single strand incision near 1-2 base mismatch"")",
DNA Repair,Recognition and association of DNA glycosylase with site containing an affected purine,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9629365"",""NEIL3 recognizes and binds to spiroiminodihydantoin"")",Yes,4,1,Cleavage of the damaged pyrimidine ,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9629149"",""NEIL1 cleaves thymine glycol from damaged DNA"")",Yes,"[1, 2, 3, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 21, 22, 23, 24]",19,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5683967"",""EYA1-4 dephosphorylates tyrosine Y142 of H2AFX"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5358597"",""EXO1 interacts with MSH2:MSH6 (MutSalpha) and MLH1:PMS2 (MutLalpha)"")",
DNA Repair,Resolution of D-loop Structures through Holliday Junction Intermediates,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5686398"",""SPIDR binds BLM:TOP3A:RMI1:RMI2"")",Yes,5,7,Cleavage of the damaged purine,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9629470"",""NEIL3 cleaves 5-guanidinohydantoin"")",Yes,[7],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5693583"",""MDC1 associates with gamma-H2AFX at nuclear foci"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5358599"",""EXO1 interacting with MSH2:MSH6 excises single strand DNA containing a mismatch"")",
DNA Repair,Recognition and association of DNA glycosylase with site containing an affected pyrimidine,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9629372"",""NEIL3 recognizes and binds to thymine glycol in telomeric DNA"")",Yes,6,1,Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5358592"",""DNA ligase I ligates single stranded nick in double stranded DNA"")",Yes,"[1, 2, 3, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 21, 22, 23, 24]",19,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5693536"",""ATM phosphorylates MDC1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5358579"",""DNA polymerase delta polymerizes DNA across single stranded gap"")",
DNA Repair,Recognition and association of DNA glycosylase with site containing an affected purine,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9629358"",""NEIL3 recognizes and binds to 5-guanidinohydantoin"")",Yes,7,1,Cleavage of the damaged pyrimidine ,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9629499"",""NEIL3 cleaves thymine glycol"")",Yes,"[1, 2, 3, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 21, 22, 23, 24]",19,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5682967"",""WHSC1 binds DNA DSBs"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6788385"",""The complex of ATR and ATRIP is recruited to ICL-DNA"")",
DNA Repair,Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5683930"",""WICH phosphorylates H2AFX on Y142"")",Yes,8,7,Cleavage of the damaged pyrimidine ,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9629497"",""NEIL3 cleaves thymine glycol from telomeric DNA"")",Yes,[6],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5682983"",""ATM phosphorylates WHSC1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6788392"",""ATR phosphorylates RPA2, FANCI, FANCD2 and FANCM at ICL-DNA"")",
DNA Repair,Resolution of D-loop Structures through Holliday Junction Intermediates,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5686430"",""MUS81 binds EME1, EME2"")",Yes,9,7,HDR through Single Strand Annealing (SSA),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5686663"",""Completion of SSA"")",Yes,"[1, 2, 3, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 21, 22, 23, 24]",19,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5682965"",""WHSC1 dimethylates histone H4 on lysine K21 at DSBs"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6785361"",""Monoubiquitination of FANCD2:FANCI"")",
DNA Repair,Sensing of DNA Double Strand Breaks,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75172"",""Formation of RAD50:MRE11 complex"")",Yes,10,7,Cleavage of the damaged purine,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9629483"",""NEIL3 cleaves spiroiminodihydantoin from damaged telomeric DNA"")",Yes,[18],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5682992"",""KDM4A,B bind H4K20Me2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6786171"",""FANCD2 deubiquitination by USP1:WDR48"")",
