PathwayName,StartPathwayName,StartPoint,StartPoint_in_Path?,StartPath_ID,StartPoint_Count,EndPathwayName,EndPoint,EndPoint_in_Path?,EndPath_ID,EndPoint_Count,Longest_Short_Path,High_Degree_Path,Low_High_Degree_Path
Developmental Biology,Formation of the cornified envelope,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8849797"",""Membrane proteases cleave Profilaggrin producing Filaggrin"")",Yes,1,1,Formation of the cornified envelope,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8850818"",""SPINK9 binds KLK5"")",Yes,[55],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-480301"",""Expression of EPAS1 (HIF2A)"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9613648"",""SOX10 dimer binds the POU3F1 promoter"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8849797"",""Membrane proteases cleave Profilaggrin producing Filaggrin"")"
Developmental Biology,Regulation of expression of SLITs and ROBOs,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9011074"",""LHX2 binds to ROBO1 gene locus"")",Yes,2,18,Reelin signalling pathway,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8855237"",""FYN phosphorylates DAB1 in RELN:VLDLR:DAB1:SH3KBP1"")",Yes,[37],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-452894"",""Expression of SOX2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9613644"",""SOX10-dependent POU3F1 gene expression"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8942224"",""Filaggrin binds Keratin tonofilament:Desmosome"")"
Developmental Biology,Myogenesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-375138"",""CDO binds BOC"")",Yes,3,2,L1CAM interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-443817"",""Phosphorylation of L1 by EPHB2"")",No,-,-,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2972967"",""POU5F1 (OCT4), SOX2, NANOG bind the EPHA1 promoter"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9613768"",""SOX10, POU3F1 and POU3F2 bind EGR2 gene"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6810357"",""Fillagrin and keratin intermediate filaments polymerise forming a network"")"
Developmental Biology,NCAM1 interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-375160"",""NCAM1 binds to ATP"")",Yes,4,1,Regulation of gene expression in endocrine-committed (NEUROG3+) progenitor cells,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210913"",""NEUROG3-dependent synthesis of INSM1"")",Yes,[7],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-480509"",""Expression of EPHA1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9613760"",""EGR2 gene expression"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6811539"",""Reinforcement of the Cornified Envelope"")"
Developmental Biology,NCAM1 interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-375149"",""Interaction of NCAM1 with GFRalpha-1"")",Yes,5,1,Transcriptional regulation of granulopoiesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9634445"",""MYC gene expression is enhanced by E2F1, STAT3, and CEBPB and repressed by CEBPA"")",Yes,"[9, 15, 17, 20, 23, 34, 39, 41, 42, 51, 54, 56]",12,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928646"",""EPHAs bind EFNAs"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-381337"",""Expression of CEBPB in adipogenesis"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6810937"",""Lamellar bodies bind the early cornified envelope"")"
Developmental Biology,Regulation of expression of SLITs and ROBOs,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9010541"",""ISL1 binds the SLIT2 gene enhancer"")",Yes,6,17,Transcriptional regulation of granulopoiesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9624112"",""CEBPA binds CDK4"")",Yes,"[9, 15, 17, 20, 23, 34, 39, 41, 42, 51, 54]",11,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928597"",""EPH:EFN dimers tetramerise"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9618584"",""CEBPB and phospho-STAT3 bind the promoter of the MYC gene"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6814298"",""Late envelope proteins bind cornified envelope:CDSN"")"
Developmental Biology,NOTCH1 Intracellular Domain Regulates Transcription,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1980047"",""NOTCH1 stimulates HES1 transcription"")",Yes,7,4,DSCAM interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-451366"",""Activation of p38MAPK by DSCAM"")",Yes,[44],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928591"",""EPH:EFN tetramers oligomerise"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9634445"",""MYC gene expression is enhanced by E2F1, STAT3, and CEBPB and repressed by CEBPA"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6814764"",""Plasma membrane resorption"")"
Developmental Biology,AKT-mediated inactivation of FOXO1A,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-211164"",""AKT phosphorylates FOXO1A"")",Yes,8,1,Recycling pathway of L1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-374696"",""Phosphorylation of L1 by p90rsk"")",No,-,-,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928578"",""EPH receptors autophosphorylate"")",,
Developmental Biology,EGR2 and SOX10-mediated initiation of Schwann cell myelination,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9613648"",""SOX10 dimer binds the POU3F1 promoter"")",Yes,9,35,EGR2 and SOX10-mediated initiation of Schwann cell myelination,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9614773"",""MBP gene expression"")",Yes,"[9, 39]",2,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928588"",""EPHBs binds PTK2"")",,
Developmental Biology,Activation of anterior HOX genes in hindbrain development during early embryogenesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6810158"",""HOXB3 chromatin is activated"")",Yes,10,9,Activation of anterior HOX genes in hindbrain development during early embryogenesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5617643"",""HOXA3 mRNA is translated"")",Yes,"[9, 10, 39, 41, 48]",5,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928610"",""PTK2 autophosphorylates at Y397"")",,
