PathwayName,StartPathwayName,StartPoint,StartPoint_in_Path?,StartPath_ID,StartPoint_Count,EndPathwayName,EndPoint,EndPoint_in_Path?,EndPath_ID,EndPoint_Count,Longest_Short_Path,High_Degree_Path,Low_High_Degree_Path
Disease,Signaling by plasma membrane FGFR1 fusions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8853322"",""Plasma membrane FGFR1 fusions dimerize"")",Yes,1,8,Signaling by FGFR2 in disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5655323"",""Activated FGFR2 mutant-associated PI3K phosphorylates PIP2 to PIP3"")",Yes,"[18, 69, 75, 87]",4,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9680812"",""nsp7 binds nsp8"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9681514"",""TMPRSS2 binds TMPRSS2 inhibitors"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6802834"",""RAS GTPase mutants don't hydrolyze GTP"")"
Disease,The NLRP3 inflammasome,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1250280"",""ROS oxidize thioredoxin"")",No,-,-,Signaling by FGFR4 in disease,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5655347"",""Activated FGFR4 mutants:p-FRS2:GRB2:SOS1 activates RAS nucleotide exchange"")",Yes,[80],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9680811"",""nsp12 binds nsp7 and nsp8"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9686731"",""TMPRSS2 Mediated SARS-CoV-1 Spike Protein Cleavage and Endocytosis"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6802908"",""RAS mutants bind inactive RAF"")"
Disease,RAS GTPase cycle mutants,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6802834"",""RAS GTPase mutants don't hydrolyze GTP"")",Yes,3,1,Toxicity of botulinum toxin type G (botG),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5250962"",""botG LC cleaves target cell VAMP2"")",Yes,[6],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9682258"",""nsp14 binds nsp12"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9686699"",""Fusion and Release of SARS-CoV-1 Nucleocapsid"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6802924"",""RAF is phosphorylated downstream of oncogenic RAS "")"
Disease,Prevention of phagosomal-lysosomal fusion,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9636461"",""PtpA binds Ubiquitin"")",Yes,2,1,Constitutive Signaling by EGFRvIII,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5637801"",""Conversion of PIP2 to PIP3 by PI3K bound to phosphorylated EGFRvIII"")",Yes,"[35, 53, 59, 105]",4,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9682626"",""nsp13 binds nsp12"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9686709"",""Uncoating of SARS-CoV-1 Genome"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6802925"",""Mutant RAS:p-RAF complexes bind MAP2Ks and MAPKs"")"
Disease,IkBA variant leads to EDA-ID,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9630921"",""NFKBIA variant binds NFkB complex"")",Yes,4,1,FLT3 mutants bind TKIs,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9702508"",""FLT mutants bind type I TKIs"")",Yes,[15],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9683393"",""nsp15 binds nsp8"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9681314"",""Replication transcription complex binds SARS-CoV-1 genomic RNA"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6802926"",""Mutant RAS:p-RAF complexes phosphorylate MAP2Ks"")"
Disease,Toxicity of botulinum toxin type B (botB),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5228940"",""Transcytosis and dissociation of botB:NTNHA:HA"")",Yes,5,1,Signaling by FGFR3 fusions in cancer,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8853323"",""Activated FGFR3 fusion-associated PI3K phosphorylates PIP2 to PIP3"")",Yes,[97],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9686005"",""nsp3 binds to nsp7-8 and nsp12-16"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9682695"",""nsp13 helicase melts secondary structures in SARS-CoV-1 genomic RNA template"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6802922"",""Activated MAP2Ks phosphorylate MAPKs downstream of oncogenic RAS"")"
Disease,Toxicity of botulinum toxin type G (botG),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5250986"",""botG HC:LC binds SYT1 and GT1b on the target cell surface"")",Yes,6,2,Toxicity of botulinum toxin type C (botC),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-181567"",""botC LC cleaves target cell STX1"")",Yes,[100],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9685597"",""RTC binds SARS-CoV-1 genomic RNA complement (minus strand)"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9681651"",""nsp8 generates RNA primers"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6803233"",""Dissociation of oncogenic RAS:RAF complex"")"
Disease,Defective factor XII causes hereditary angioedema,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9653249"",""Cleavage of factor XII variant by activated thrombin"")",Yes,7,1,APOBEC3G mediated resistance to HIV-1 infection,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-180632"",""Deamination of C residues during synthesis of HIV-1 reverse transcript minus-strand"")",Yes,"[8, 37, 60, 86, 99]",5,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9681840"",""RTC synthesizes SARS-CoV-1 plus strand genomic RNA"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9681674"",""nsp12 synthesizes minus strand SARS-CoV-1 genomic RNA complement"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6802912"",""High kinase activity BRAF mutants bind MAP2Ks and MAPKs"")"
Disease,Rev-mediated nuclear export of HIV RNA,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-180687"",""Conversion of Ran-GDP to Ran-GTP"")",Yes,8,22,Constitutive Signaling by AKT1 E17K in Cancer,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2399969"",""AKT1 E17K mutant phosphorylates p21Cip1 and p27Kip1"")",Yes,[78],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9684017"",""nsp14 acts as a cap N7 methyltransferase to modify SARS-CoV-1 gRNA (plus strand)"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9682465"",""RTC completes synthesis of the minus strand genomic RNA complement"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6802911"",""High kinase activity BRAF complexes phosphorylate MAP2Ks"")"
Disease,FCGR3A-mediated phagocytosis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9666433"",""IgG binds the surface of the amastigote form of Leishmania"")",Yes,9,5,Signaling by PDGFRA extracellular domain mutants,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9672162"",""PI3K catalyses the phosphorylation of PIP2 to PIP3 downstream of PDGFRA extracellular domain dimers"")",Yes,[67],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9684032"",""nsp16 acts as a cap 2'-O-methyltransferase to modify SARS-CoV-1 gRNA (plus strand)"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9684301"",""mRNA1 is translated to pp1a"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6802910"",""Activated MAP2Ks phosphorylate MAPKs downstream of high kinase activity BRAF mutants"")"
