PathwayName,StartPathwayName,StartPoint,StartPoint_in_Path?,StartPath_ID,StartPoint_Count,EndPathwayName,EndPoint,EndPoint_in_Path?,EndPath_ID,EndPoint_Count,Longest_Short_Path,High_Degree_Path,Low_High_Degree_Path
Extracellular matrix organization,Activation of Matrix Metalloproteinases,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1604752"",""Initial activation of proMMP13 by MMP3"")",Yes,2,1,Collagen degradation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2471842"",""Collagen type XXV ectomain shedding"")",Yes,[23],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2129357"",""Fibrillin C-terminal processing"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2089971"",""Secretion of collagens"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1604752"",""Initial activation of proMMP13 by MMP3"")"
Extracellular matrix organization,Elastic fibre formation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2161293"",""Tropoelastin forms aggregate globules"")",Yes,1,1,Integrin cell surface interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-198941"",""VCAM1 binds Integrin alpha4beta1"")",Yes,[11],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2129362"",""Fibrillin microfibril assembly"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2168982"",""Collagen type XVI degradation by MMP9"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1604732"",""Autocatalytic activation of proMMP13"")"
Extracellular matrix organization,Fibronectin matrix formation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2545196"",""FN1 dimerizes"")",Yes,3,1,ECM proteoglycans,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2465883"",""VTN binds collagens I, IV and VI"")",Yes,[12],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2129385"",""MFAP2, MFAP5 bind microfibrils"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2537499"",""Gelatin degradation by MMP19"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8942302"",""MMP13 cleaves OPTC"")"
Extracellular matrix organization,Activation of Matrix Metalloproteinases,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1592371"",""Initial activation of proMMP3"")",Yes,4,1,Integrin cell surface interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4539779"",""Collagen type IV binds integrin alpha10beta1"")",Yes,[12],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2129353"",""Tropoelastin associates with microfibrils"")",,
Extracellular matrix organization,Syndecan interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2731147"",""Syndecan-4 binds PI(4,5)P2"")",Yes,5,1,Integrin cell surface interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2473511"",""Collagen type XXIII binds Integrin alpha2beta1"")",Yes,[23],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2129375"",""Elastin cross-linking by lysyl oxidase"")",,
Extracellular matrix organization,Collagen biosynthesis and modifying enzymes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1614460"",""Dimerization of procollagen type VI"")",Yes,6,1,Collagen biosynthesis and modifying enzymes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1614461"",""Tetramerization of procollagen VI"")",Yes,[6],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1592387"",""Fibulin binds elastic fibres"")",,
Extracellular matrix organization,Activation of Matrix Metalloproteinases,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1602488"",""Initial activation of proMMP13 by plasmin and trypsin"")",Yes,7,1,Degradation of the extracellular matrix,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2533944"",""Fibronectin degradation by MMP10"")",Yes,[20],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2328048"",""Emilin is found in elastic fibres"")",,
Extracellular matrix organization,Collagen degradation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1564143"",""Collagen type X degradation by MMP1,2"")",Yes,8,2,Degradation of the extracellular matrix,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2533950"",""Fibronectin degradation by MMP14, TMPRSS6"")",Yes,[18],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2161282"",""Elastic fibres bind associated proteins"")",,
Extracellular matrix organization,Activation of Matrix Metalloproteinases,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1592436"",""Initial activation of proMMP9 by MMPs"")",Yes,9,2,ECM proteoglycans,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2424243"",""SPARC binds Collagen type I fibril, hydroxylapatite and Ca2+"")",Yes,[12],1,,,
Extracellular matrix organization,Collagen degradation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2484882"",""Collagen type X degradation by MMP3, 13"")",Yes,10,2,Degradation of the extracellular matrix,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2514823"",""Fibrillin-1 degradation by ELANE"")",Yes,[21],1,,,
