PathwayName,StartPathwayName,StartPoint,StartPoint_in_Path?,StartPath_ID,StartPoint_Count,EndPathwayName,EndPoint,EndPoint_in_Path?,EndPath_ID,EndPoint_Count,Longest_Short_Path,High_Degree_Path,Low_High_Degree_Path
Programmed Cell Death,TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4331340"",""TP53 binds the BBC3 (PUMA) promoter"")",Yes,1,2,Apoptotic execution phase,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-351947"",""Nuclear translocation of catalytic domain of Mst3"")",Yes,[20],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9710295"",""IRF2 or IRF1 binds the GSDMD gene promoter"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-141156"",""TRAIL-mediated dimerization of procaspase-8"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6805811"",""Release of SEPT4 from mitochondria"")"
Programmed Cell Death,Apoptosis induced DNA fragmentation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-211224"",""Association of DFF40 with DFF45"")",No,-,-,Apoptotic cleavage of cellular proteins,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-201630"",""Caspase-mediated cleavage of Acinus"")",Yes,"[3, 8, 11, 12, 14, 15, 19, 23]",8,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9710294"",""GSDMD expression mediated by IRF2, IRF1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-139952"",""Caspase-8 processing in the DISC"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9627369"",""SEPT4 binds XIAP"")"
Programmed Cell Death,TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4331331"",""TP53 binds the PMAIP1 (NOXA) promoter"")",Yes,2,2,Regulation of necroptotic cell death,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9686920"",""PELI1 ubiquitinates RIPK3 at K363"")",Yes,"[5, 7, 11, 14, 15, 19, 25]",7,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9647680"",""CASP1 cleaves GSDMD"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-139898"",""Caspase-8 activates BID by cleavage"")",
Programmed Cell Death,BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6790025"",""Expression of BCL2, BCL2L1"")",Yes,3,42,Stimulation of the cell death response by PAK-2p34,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-211712"",""Proteolytic PAK-2p34 fragment translocates to the nucleus"")",Yes,"[3, 6, 8, 11, 12, 14, 15, 19, 23]",9,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9710353"",""GSDMD (1-275) binds cardiolipin"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-141367"",""Myristoylation of tBID by NMT1"")",
Programmed Cell Death,Breakdown of the nuclear lamina,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9029690"",""Caspase-6 translocates to the nucleus"")",Yes,4,3,Caspase-mediated cleavage of cytoskeletal proteins,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-201639"",""Caspase-mediated cleavage of GAS2"")",Yes,"[3, 8, 11, 12, 14, 15, 19, 23]",8,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114284"",""Release of Cytochrome c from mitochondria"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-139920"",""Translocation of tBID to mitochondria"")",
Programmed Cell Death,CASP8 activity is inhibited,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3465429"",""FLIP(S) and procaspase-8 form heterodimer"")",Yes,5,3,Caspase-mediated cleavage of cytoskeletal proteins,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-201622"",""Caspase-mediated cleavage of gelsolin"")",Yes,"[3, 8, 11, 12, 14, 15, 19, 23]",8,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114254"",""CYCS binds to APAF1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-508163"",""BH3-only proteins associate with and inactivate anti-apoptotic BCL-2"")",
Programmed Cell Death,Stimulation of the cell death response by PAK-2p34,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-211583"",""Partial autophosphorylation of PAK-2 at  Ser-19, Ser-20, Ser-55, Ser-192, and Ser-197"")",Yes,6,3,Apoptotic cleavage of cell adhesion  proteins,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-201636"",""Caspase-mediated cleavage of Desmoplakin"")",Yes,"[3, 8, 11, 12, 14, 15, 19, 23]",8,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114256"",""CYCS:APAF1 binds procaspase-9"")",,
Programmed Cell Death,Regulation of necroptotic cell death,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9688838"",""RIPK3 binds STUB1"")",Yes,7,3,Caspase activation via Dependence Receptors in the absence of ligand,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-418849"",""DAPK binds UNC5B"")",Yes,"[3, 8, 11, 12, 14, 15, 19, 23]",8,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9627056"",""Procaspase 9 forms dimer"")",,
Programmed Cell Death,"Activation, myristolyation of BID and translocation to mitochondria","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-139893"",""Granzyme-B activates BID by cleavage"")",Yes,8,42,Apoptotic cleavage of cell adhesion  proteins,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-351876"",""Caspase-mediated cleavage of occludin"")",Yes,"[3, 8, 11, 12, 14, 15, 19, 23]",8,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114259"",""Cleavage of Procaspase‑9 to caspase‑9"")",,
Programmed Cell Death,Activation of NOXA and translocation to mitochondria,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4331327"",""E2F1 binds PMAIP1 (NOXA) promoter"")",Yes,9,2,Regulation of the apoptosome activity,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9627089"",""CASP9 is phosphorylated at T125"")",Yes,"[3, 8, 11, 12, 14, 15, 19, 23]",8,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114252"",""Cleavage of Procaspase-3 by the apoptosome"")",,
Programmed Cell Death,Release of apoptotic factors from the mitochondria,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6805811"",""Release of SEPT4 from mitochondria"")",Yes,10,1,Apoptotic cleavage of cell adhesion  proteins,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-202939"",""Caspase-mediated cleavage of E-Cadherin"")",Yes,"[3, 8, 11, 12, 14, 15, 19, 23]",8,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-211651"",""Cleavage of PAK-2 at 212"")",,
Programmed Cell Death,Dimerization of procaspase-8,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-141156"",""TRAIL-mediated dimerization of procaspase-8"")",Yes,11,52,Apoptotic cleavage of cell adhesion  proteins,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-201631"",""Caspase-mediated cleavage of Desmoglein 3"")",Yes,"[3, 8, 11, 12, 14, 15, 19, 23]",8,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-211650"",""Autophosphorylation of PAK-2p34 in the activation loop"")",,
Programmed Cell Death,Pyroptosis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9710295"",""IRF2 or IRF1 binds the GSDMD gene promoter"")",Yes,12,39,Breakdown of the nuclear lamina,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-264871"",""Caspase-mediated cleavage of Lamin B1"")",Yes,[4],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-211734"",""Ubiquitination of PAK-2p34"")",,
Programmed Cell Death,Activation of BIM and translocation to mitochondria ,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-139918"",""Phosphorylation of BIM by JNK"")",Yes,13,2,Apoptotic cleavage of cell adhesion  proteins,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-351871"",""Caspase-mediated cleavage of Z0-2"")",Yes,"[3, 8, 11, 12, 14, 15, 19, 23]",8,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-211715"",""Proteasome mediated degradation of PAK-2p34"")",,
Programmed Cell Death,TRIF-mediated programmed cell death,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2562564"",""Caspase-8 processing within TLR4 complex"")",Yes,14,52,Apoptotic cleavage of cellular proteins,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-351936"",""Caspase-mediated cleavage of claspin"")",Yes,"[3, 8, 11, 12, 14, 15, 19, 23]",8,,,
Programmed Cell Death,Apoptosis induced DNA fragmentation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-266204"",""Association of HMGB1/HMGB2 with chromatin"")",No,-,-,Pyroptosis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9647643"",""GSDMD (1-275) binds bacterial cardiolipin"")",Yes,"[3, 8, 11, 12, 14, 15, 19, 23]",8,,,
Programmed Cell Death,Dimerization of procaspase-8,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73945"",""FAS-mediated dimerization of procaspase-8"")",Yes,15,52,Caspase-mediated cleavage of cytoskeletal proteins,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-202966"",""Caspase mediated cleavage of HIP-55"")",Yes,"[3, 8, 11, 12, 14, 15, 19, 23]",8,,,
Programmed Cell Death,Microbial modulation of RIPK1-mediated regulated necrosis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9686343"",""IAV NS1 binds MLKL"")",Yes,16,1,Regulation of activated PAK-2p34 by proteasome mediated degradation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-211715"",""Proteasome mediated degradation of PAK-2p34"")",Yes,"[3, 6, 8, 11, 12, 14, 15, 19, 23]",9,,,
Programmed Cell Death,Regulation by c-FLIP,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371359"",""FLIP(L) and procaspase-8 form heterodimer in TRAIL signaling"")",Yes,17,1,Regulation of the apoptosome activity,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6804596"",""APAF1:CYCS binds APIP"")",Yes,"[3, 8, 11, 12, 14, 15, 19, 23]",8,,,
Programmed Cell Death,Activation of PUMA and translocation to mitochondria,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4331324"",""E2F1 binds BBC3 (PUMA) promoter"")",Yes,18,2,Apoptotic cleavage of cell adhesion  proteins,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-351913"",""Caspase-mediated cleavage of TJP1"")",Yes,"[3, 8, 11, 12, 14, 15, 19, 23]",8,,,
Programmed Cell Death,Dimerization of procaspase-8,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-141159"",""TNF-mediated dimerization of procaspase-8"")",Yes,19,52,Apoptotic cleavage of cellular proteins,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-350651"",""Caspase-mediated cleavage of MASK"")",Yes,"[3, 8, 11, 12, 14, 15, 19, 23]",8,,,
Programmed Cell Death,Apoptotic cleavage of cellular proteins,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-351901"",""Caspase-mediated cleavage of MST3"")",Yes,20,1,Caspase-mediated cleavage of cytoskeletal proteins,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-350319"",""Caspase mediated cleavage of vimentin at IDVD (259)"")",Yes,"[11, 14, 15, 19]",4,,,
Programmed Cell Death,Activation of BMF and translocation to mitochondria,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-139908"",""Phosphorylation of DLC2 by MAPK8"")",Yes,21,1,Caspase-mediated cleavage of cytoskeletal proteins,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-201637"",""Caspase-mediated cleavage of plectin-1"")",Yes,"[11, 14, 15, 19]",4,,,
Programmed Cell Death,Apoptotic factor-mediated response,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9645694"",""p14ARF binds C1QBP"")",Yes,22,1,Caspase activation via Dependence Receptors in the absence of ligand,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-374699"",""UNC5A binds NRAGE"")",Yes,"[3, 8, 11, 12, 14, 15, 19, 23]",8,,,
Programmed Cell Death,Pyroptosis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9710323"",""TP53 or TP63 binds the GSDME gene"")",Yes,23,39,BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-508163"",""BH3-only proteins associate with and inactivate anti-apoptotic BCL-2"")",Yes,"[1, 2, 3, 8, 9, 11, 13, 14, 15, 18, 19, 21]",12,,,
Programmed Cell Death,Regulation by c-FLIP,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3465459"",""FLIP(L) and procaspase-8 form heterodimer in FasL/CD95 signaling"")",Yes,24,1,Interleukin-1 processing,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-449058"",""Interleukin-1 family are secreted"")",Yes,"[3, 8, 11, 12, 14, 15, 19, 23]",8,,,
Programmed Cell Death,CASP8 activity is inhibited,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5675456"",""FLIP(L) and procaspase-8 form heterodimer"")",Yes,25,4,Caspase-mediated cleavage of cytoskeletal proteins,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-201608"",""Caspase-mediated cleavage of alpha adducin"")",Yes,"[3, 8, 11, 12, 14, 15, 19, 23]",8,,,
Programmed Cell Death,,,,,-,"SMAC, XIAP-regulated apoptotic response","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9627369"",""SEPT4 binds XIAP"")",Yes,[10],1,,,
Programmed Cell Death,,,,,-,Apoptotic cleavage of cellular proteins,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-202960"",""Caspase mediated cleavage of C-IAP1"")",Yes,"[3, 8, 11, 12, 14, 15, 19, 23]",8,,,
Programmed Cell Death,,,,,-,Regulation of necroptotic cell death,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5357828"",""RIPK1 is cleaved by CASP8"")",Yes,"[11, 14, 15, 19]",4,,,
Programmed Cell Death,,,,,-,Caspase-mediated cleavage of cytoskeletal proteins,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-201629"",""Caspase-mediated cleavage of Tau"")",Yes,"[3, 8, 11, 12, 14, 15, 19, 23]",8,,,
