PathwayName,StartPathwayName,StartPoint,StartPoint_in_Path?,StartPath_ID,StartPoint_Count,EndPathwayName,EndPoint,EndPoint_in_Path?,EndPath_ID,EndPoint_Count,Longest_Short_Path,High_Degree_Path,Low_High_Degree_Path
Sensory Perception,Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74448"",""Calcium binds calmodulin"")",Yes,1,1,"Inactivation, recovery and regulation of the phototransduction cascade","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2534040"",""Unknown NAT N-acylates Gly in GNAT1"")",Yes,[12],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-975635"",""BCMO1:Fe2+ cleaves betaC to atRAL"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9659380"",""Mechanoelectrical transduction (MET) channel transports cations from the extracellular region into the cytosol of stereocilia of inner hair cell"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74448"",""Calcium binds calmodulin"")"
Sensory Perception,Sensory processing of sound by outer hair cells of the cochlea,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9663363"",""Mechanoelectrical transduction (MET) channel transports cations into the cytosol of stereocilia of cochlear outer hair cell"")",Yes,3,1,Acetylcholine inhibits contraction of outer hair cells,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9663752"",""KCNN2 transports K+ from the cytosol to the extracellular region"")",Yes,[10],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2399913"",""atRAL binds to RBP2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9659515"",""CACNA1D:CACNA2D2:CACNB2 (Cav1.3 channel) transports Ca2+ into the cytosol of an inner hair cell"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3229181"",""CALM1:Ca2+ binds CNG channel"")"
Sensory Perception,Retinoid metabolism and transport,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-975594"",""PLB1 hydrolyses RPALM to atROL"")",Yes,2,4,Sensory processing of sound by inner hair cells of the cochlea,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9662096"",""Exocytosis of glutamate from cochlear inner hair cell"")",Yes,[9],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2855252"",""AKRs reduce RBP2:atRAL to RBP2:atROL"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9662096"",""Exocytosis of glutamate from cochlear inner hair cell"")",
Sensory Perception,The retinoid cycle in cones (daylight vision),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2465941"",""A REH hydrolyses 11cRE to 11cROL"")",Yes,4,3,Sensory processing of sound by outer hair cells of the cochlea,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9662114"",""ATP2B2-wa (PMCA2-wa) transports Ca2+ from the cytosol to the extracellular region"")",Yes,[9],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-975608"",""LRAT esterifies RBP2:atROL and FACYLs to atREs"")",,
Sensory Perception,"Inactivation, recovery and regulation of the phototransduction cascade","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2586748"",""GUCA binds Ca2+ to form GUCA:Ca2+"")",Yes,5,2,Sensory processing of sound by outer hair cells of the cochlea,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9659554"",""KCNQ4 transports K+ from the cytosol to the extracellular region"")",Yes,[9],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2395764"",""atREs binds to nascent CM"")",,
Sensory Perception,Digestion of dietary lipid,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-975593"",""PNLIP:CLPS hydrolyses RPALM to atROL and PALM"")",Yes,6,4,"Inactivation, recovery and regulation of the phototransduction cascade","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2534087"",""NMT1/2 transfer MYS to GNAT1"")",Yes,[12],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2187332"",""Cytosolic CMs translocate to extracellular region"")",,
Sensory Perception,Retinoid metabolism and transport,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-975635"",""BCMO1:Fe2+ cleaves betaC to atRAL"")",Yes,7,4,Acetylcholine inhibits contraction of outer hair cells,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9667809"",""KCNMA1:KCNMB1 transports potassium ions from the cytosol to the extracellular region"")",Yes,[10],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2395784"",""Nascent CMs transform into mature CMs"")",,
Sensory Perception,Olfactory Signaling Pathway,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-381749"",""G Protein trimer formation (olfactory)"")",Yes,8,1,Sensory processing of sound by outer hair cells of the cochlea,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9663354"",""SLC26A5 (prestin) changes conformation in response to depolarization"")",Yes,[3],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2395768"",""LPL hydrolyses TGs from mature CMs"")",,
Sensory Perception,Sensory processing of sound by inner hair cells of the cochlea,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9659380"",""Mechanoelectrical transduction (MET) channel transports cations from the extracellular region into the cytosol of stereocilia of inner hair cell"")",Yes,9,5,The retinoid cycle in cones (daylight vision),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2465919"",""AWAT2 transfers PALM to 11cROL forming 11cRPALM"")",Yes,"[2, 4, 6, 7, 11]",5,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2424254"",""LDLR transports extracellular CR:atREs to cytosol "")",,
Sensory Perception,Acetylcholine inhibits contraction of outer hair cells,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9663736"",""CHRNA9:CHRNA10 binds acetylcholine"")",Yes,10,2,Sensory processing of sound by inner hair cells of the cochlea,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9664214"",""ATP2B1 (PMCA1) transports Ca2+ from the cytosol to the extracellular region"")",Yes,[9],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2404140"",""NREH hydrolyses atREs to atROL and FAs"")",,
