PathwayName,StartPathwayName,StartPoint,StartPoint_in_Path?,StartPath_ID,StartPoint_Count,EndPathwayName,EndPoint,EndPoint_in_Path?,EndPath_ID,EndPoint_Count,Longest_Short_Path,High_Degree_Path,Low_High_Degree_Path
Transport of small molecules,Iron uptake and transport,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-917891"",""SLC40A1:CP:6Cu2+ oxidises Fe2+ to Fe3+"")",Yes,1,3,Organic anion transporters,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-429767"",""Passive I- efflux mediated by SMCT1"")",Yes,[27],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-392263"",""AVP(20-28) binds AVPR2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-392263"",""AVP(20-28) binds AVPR2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-432074"",""Aquaporin-7 passively transports glycerol out of cell"")"
Transport of small molecules,Stimuli-sensing channels,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5333671"",""CLCAs self cleave"")",Yes,2,4,Cellular hexose transport,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5339524"",""GLUT1 (SLC2A1) tetramer transports Glc from extracellular region to cytosol"")",No,-,-,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-432188"",""AVP:AVPR2 Complex binds inactive heterotrimeric G(s) complex"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-432188"",""AVP:AVPR2 Complex binds inactive heterotrimeric G(s) complex"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-432049"",""Aquaporin-9 passively transports glycerol into cell"")"
Transport of small molecules,Transport of glycerol from adipocytes to the liver by Aquaporins,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-432074"",""Aquaporin-7 passively transports glycerol out of cell"")",Yes,3,1,ABC-family proteins mediated transport,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5678863"",""CFTR transports Cl- from cytosol to extracellular region"")",Yes,[11],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-432195"",""AVP:AVPR2:heterotrimeric G(s) complex exchanges GDP for GTP"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-432195"",""AVP:AVPR2:heterotrimeric G(s) complex exchanges GDP for GTP"")",
Transport of small molecules,VLDLR internalisation and degradation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8855111"",""VLDLR binds PCSK9"")",Yes,4,1,LDL clearance,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8876731"",""CHEST translocates from ER membrane to lipid particle"")",Yes,"[7, 12, 18, 20, 28, 29, 33, 34]",8,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-422320"",""Heterotrimeric G(s) complex dissociates"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-422320"",""Heterotrimeric G(s) complex dissociates"")",
Transport of small molecules,Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5250217"",""ARL2:GTP binds ARL2BP"")",Yes,5,1,Stimuli-sensing channels,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2684901"",""ANOs transport cytosolic Cl- to extracellular region"")",Yes,[2],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-163617"",""G alpha (s) activates adenylate cyclase"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-163617"",""G alpha (s) activates adenylate cyclase"")",
Transport of small molecules,Iron uptake and transport,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5690873"",""ACO1 binds 4Fe-4S"")",Yes,6,1,VLDLR internalisation and degradation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8855130"",""VLDLR:PCSK9:Clathrin-coated vesicle translocates from the plasma membrane to lysosomal membrane"")",Yes,[4],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-164377"",""Activated Adenylate cyclase catalyses cAMP synthesis"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-164377"",""Activated Adenylate cyclase catalyses cAMP synthesis"")",
Transport of small molecules,Assembly of active LPL and LIPC lipase complexes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6784861"",""HSPG binds LPL dimer"")",Yes,7,2,HDL remodeling,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-266089"",""Discoidal HDL binds membrane-associated free cholesterol"")",Yes,"[18, 20, 22, 28, 29, 33, 34]",7,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8951727"",""cAMP binds PKA tetramer"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8951727"",""cAMP binds PKA tetramer"")",
Transport of small molecules,Mitochondrial calcium ion transport,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8949688"",""SLC8B1 (NCLX) exchanges sodium (mitochondrial intermembrane space) for calcium (mitochondrial matrix)"")",Yes,8,1,Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5672027"",""ARL2:GTP:ARL2BP:SLC25A4 dimer exchanges ATP for ADP across the mitochondrial inner membrane"")",Yes,[5],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111925"",""cAMP induces dissociation of inactive PKA tetramers"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111925"",""cAMP induces dissociation of inactive PKA tetramers"")",
Transport of small molecules,Vasopressin regulates renal water homeostasis via Aquaporins,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-432010"",""Aquaporin-1 passively transports water into cell"")",Yes,9,2,Transferrin endocytosis and recycling,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5691150"",""TFR2 dimer binds 2xholoTF"")",Yes,"[1, 23, 35]",3,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5682101"",""PKA phosphorylates 4xPALM-C-p-2S-ABCA1 tetramer"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5682101"",""PKA phosphorylates 4xPALM-C-p-2S-ABCA1 tetramer"")",
Transport of small molecules,Potential therapeutics for SARS,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9684068"",""ATP1A:ATP1B:FXYD binds cardiac glycosides"")",Yes,10,1,Erythrocytes take up oxygen and release carbon dioxide,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1237059"",""CA4:Zn2+ dehydrates HCO3- to CO2"")",Yes,"[16, 36]",2,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-216727"",""4xPALM-C-p-2S-ABCA1 tetramer binds APOA1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-216727"",""4xPALM-C-p-2S-ABCA1 tetramer binds APOA1"")",
