PathwayName,StartPathwayName,StartPoint,StartPoint_in_Path?,StartPath_ID,StartPoint_Count,EndPathwayName,EndPoint,EndPoint_in_Path?,EndPath_ID,EndPoint_Count,Longest_Path_Start,Longest_Path_End,Longest_Path_Links
Protein localization,Mitochondrial protein import,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1268022"",""TOMM40 complex translocates proteins from the cytosol to the mitochondrial intermembrane space"")",Yes,1,3,TYSND1 cleaves peroxisomal proteins,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033506"",""TYSND1 cleaves AGPS"")",Yes,[2],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1268022"",""TOMM40 complex translocates proteins from the cytosol to the mitochondrial intermembrane space"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8986181"",""PITRM1 proteolyzes mitochondrial targeting peptides (presequences)"")",4
Protein localization,Peroxisomal protein import,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033233"",""PEX5S,L binds cargo proteins containing PTS1"")",Yes,2,7,TYSND1 cleaves peroxisomal proteins,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033530"",""TYSND1 cleaves HSD17B4"")",Yes,[2],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033233"",""PEX5S,L binds cargo proteins containing PTS1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033506"",""TYSND1 cleaves AGPS"")",4
Protein localization,,,,,-,TYSND1 cleaves peroxisomal proteins,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033515"",""TYSND1 cleaves ACOX1"")",Yes,[2],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033233"",""PEX5S,L binds cargo proteins containing PTS1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033530"",""TYSND1 cleaves HSD17B4"")",4
Protein localization,,,,,-,TYSND1 cleaves peroxisomal proteins,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033490"",""TYSND1 cleaves PHYH"")",Yes,[2],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033233"",""PEX5S,L binds cargo proteins containing PTS1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033515"",""TYSND1 cleaves ACOX1"")",4
Protein localization,,,,,-,Mitochondrial protein import,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1307802"",""MIA40:ERV1 (CHCHD4:GFER) oxidizes cysteine residues to cystine disulfide bonds"")",Yes,[1],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033233"",""PEX5S,L binds cargo proteins containing PTS1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033490"",""TYSND1 cleaves PHYH"")",4
Protein localization,,,,,-,TYSND1 cleaves peroxisomal proteins,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033524"",""TYSND1 cleaves SCP2"")",Yes,[2],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033233"",""PEX5S,L binds cargo proteins containing PTS1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033524"",""TYSND1 cleaves SCP2"")",4
Protein localization,,,,,-,TYSND1 cleaves peroxisomal proteins,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033529"",""TYSND1 cleaves ACAA1"")",Yes,[2],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033233"",""PEX5S,L binds cargo proteins containing PTS1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033529"",""TYSND1 cleaves ACAA1"")",4
Protein localization,,,,,-,Mitochondrial protein import,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8986181"",""PITRM1 proteolyzes mitochondrial targeting peptides (presequences)"")",Yes,[1],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033233"",""PEX5S,L binds cargo proteins containing PTS1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033520"",""TYSND1 cleaves TYSND1"")",4
Protein localization,,,,,-,Insertion of tail-anchored proteins into the endoplasmic reticulum membrane,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9617596"",""BAG6:GET4:UBL4A binds mislocalized membrane protein:SGTA and ASNA1:ATP"")",No,-,-,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1268022"",""TOMM40 complex translocates proteins from the cytosol to the mitochondrial intermembrane space"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1307802"",""MIA40:ERV1 (CHCHD4:GFER) oxidizes cysteine residues to cystine disulfide bonds"")",2
Protein localization,,,,,-,Mitochondrial protein import,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1268025"",""SAM50 complex inserts proteins into mitochondrial outer membrane"")",Yes,[1],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1268022"",""TOMM40 complex translocates proteins from the cytosol to the mitochondrial intermembrane space"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1268025"",""SAM50 complex inserts proteins into mitochondrial outer membrane"")",2
Protein localization,,,,,-,TYSND1 cleaves peroxisomal proteins,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033520"",""TYSND1 cleaves TYSND1"")",Yes,[2],1,,,
