PathwayName,StartPathwayName,StartPoint,StartPoint_in_Path?,StartPath_ID,StartPoint_Count,EndPathwayName,EndPoint,EndPoint_in_Path?,EndPath_ID,EndPoint_Count,Longest_Path_Start,Longest_Path_End,Longest_Path_Links
Transport of small molecules,Phase I - Functionalization of compounds,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8937442"",""CES3 hydrolyses CHEST to CHOL and LCFA(-)"")",Yes,1,7,LDL clearance,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8876731"",""CHEST translocates from ER membrane to lipid particle"")",Yes,"[1, 6, 14, 16, 23, 33, 35, 36]",8,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-392263"",""AVP(20-28) binds AVPR2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8876731"",""CHEST translocates from ER membrane to lipid particle"")",34
Transport of small molecules,Organic anion transporters,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-429591"",""SLC5A5 cotransports Na+ with I- from extracellular region to cytosol"")",Yes,2,1,LDL clearance,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6784738"",""Degradation of PCSK9:LDLR:Clathrin-coated vesicle"")",Yes,"[1, 6, 14, 16, 23, 33, 35, 36]",8,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5682084"",""ZDHCC8 transfers PALM from PALM-CoA to ABCA1 tetramer"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8876731"",""CHEST translocates from ER membrane to lipid particle"")",28
Transport of small molecules,Recycling of bile acids and salts,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-194079"",""SLCO1B3 transports ALB:(GCCA, TCCA) from extracellular region to cytosol"")",Yes,3,1,Cellular hexose transport,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5339524"",""GLUT1 (SLC2A1) tetramer transports Glc from extracellular region to cytosol"")",No,-,-,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-392263"",""AVP(20-28) binds AVPR2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6784738"",""Degradation of PCSK9:LDLR:Clathrin-coated vesicle"")",27
Transport of small molecules,VLDLR internalisation and degradation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8855111"",""VLDLR binds PCSK9"")",Yes,4,1,Iron uptake and transport,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-904830"",""SLC40A1:CP:6Cu2+ transports Fe2+ from cytosol to extracellular region"")",Yes,[30],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8937442"",""CES3 hydrolyses CHEST to CHOL and LCFA(-)"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8876731"",""CHEST translocates from ER membrane to lipid particle"")",25
Transport of small molecules,Erythrocytes take up carbon dioxide and release oxygen,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1237042"",""AQP1 tetramer transports CO2 from extracellular region to cytosol"")",Yes,5,3,Organic anion transporters,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-429767"",""Passive I- efflux mediated by SMCT1"")",Yes,[2],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6813720"",""NCEH1 hydrolyzes cholesterol esters"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8876731"",""CHEST translocates from ER membrane to lipid particle"")",25
Transport of small molecules,Assembly of active LPL and LIPC lipase complexes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8856525"",""ANGPTL8 binds ANGPTL3"")",Yes,6,2,Vasopressin regulates renal water homeostasis via Aquaporins,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-432067"",""Aquaporin-4 passively transports water out of cell"")",Yes,"[12, 16]",2,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-264758"",""BMP1-3:Zn2+ cleaves pro-APOA1 to APOA1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8876731"",""CHEST translocates from ER membrane to lipid particle"")",24
Transport of small molecules,Recycling of bile acids and salts,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-194083"",""SLCO1B1 transports ALB:(GCCA,TCCA) from extracellular region to cytosol"")",Yes,7,1,HDL clearance,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8858252"",""HDLBP binds HDL"")",Yes,"[1, 14, 16, 33, 35, 36]",6,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8856525"",""ANGPTL8 binds ANGPTL3"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8876731"",""CHEST translocates from ER membrane to lipid particle"")",22
Transport of small molecules,ABC-family proteins mediated transport,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8866851"",""CFTR transits to the plasma membrane"")",Yes,9,2,ABC transporters in lipid homeostasis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-382575"",""ABCD1-3 dimers transfer LCFAs from cytosol to peroxisomal matrix"")",No,-,-,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174786"",""ApoB-48 + 40 triacylglycerol + 60 phospholipid => ApoB-48:TG:PL complex"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8876731"",""CHEST translocates from ER membrane to lipid particle"")",22
Transport of small molecules,Mitochondrial calcium ion transport,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8949688"",""SLC8B1 (NCLX) exchanges sodium (mitochondrial intermembrane space) for calcium (mitochondrial matrix)"")",Yes,8,1,Erythrocytes take up oxygen and release carbon dioxide,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1247649"",""AQP1 tetramer transports CO2 from cytosol to extracellular region"")",Yes,"[5, 11, 29]",3,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6784861"",""HSPG binds LPL dimer"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8876731"",""CHEST translocates from ER membrane to lipid particle"")",21
Transport of small molecules,Iron uptake and transport,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5229273"",""LCN2:2,5DHBA binds Fe3+"")",Yes,10,1,ABC-family proteins mediated transport,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5678863"",""CFTR transports Cl- from cytosol to extracellular region"")",Yes,[9],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5682084"",""ZDHCC8 transfers PALM from PALM-CoA to ABCA1 tetramer"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6784738"",""Degradation of PCSK9:LDLR:Clathrin-coated vesicle"")",21
