PathwayName,StartPathwayName,StartPoint,StartPoint_in_Path?,StartPath_ID,StartPoint_Count,EndPathwayName,EndPoint,EndPoint_in_Path?,EndPath_ID,EndPoint_Count,Longest_Path_Start,Longest_Path_End,Longest_Path_Links
Vesicle-mediated transport,Scavenging by Class F Receptors,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2197645"",""SCARF1 (SREC-I) binds ligands"")",Yes,1,1,Regulation of gap junction activity,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-191656"",""Closure of gap junction"")",Yes,[35],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6814090"",""NatC acetylates ARFFRP1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8854290"",""TBC1D20 binds NS5A"")",21
Vesicle-mediated transport,RAB GEFs exchange GTP for GDP on RABs,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8876446"",""p-ULK1 phosphorylates DENND3"")",Yes,2,1,Scavenging of heme from plasma,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2168881"",""Truncated Alpha-1-Microglobulin binds heme"")",Yes,[22],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5694427"",""MIA3 binds procollagen VII"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8874979"",""ACBD3 binds GOLGB1"")",20
Vesicle-mediated transport,Scavenging by Class H Receptors,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2197770"",""STAB1 (FEEL-1) binds ligands"")",Yes,3,1,Intra-Golgi traffic,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8847883"",""CYTH proteins stimulate ARF1 GTPase activity"")",Yes,[12],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5694427"",""MIA3 binds procollagen VII"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6811433"",""The COG tethering complex interacts with numerous SNAREs at the Golgi membrane"")",20
Vesicle-mediated transport,Retrograde transport at the Trans-Golgi-Network,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6814675"",""RAB9 binds RHOBTB3, bringing late endosome-derived vesicles to the TGN"")",Yes,5,8,Cargo concentration in the ER,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5694415"",""SEC24A,B:SEC23A bind SEC22B"")",Yes,"[5, 6, 19, 34]",4,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5694427"",""MIA3 binds procollagen VII"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8849748"",""The COG complex binds RABs at the Golgi membrane"")",20
Vesicle-mediated transport,Cargo recognition for clathrin-mediated endocytosis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8866279"",""Epsin family proteins bind ubiquitinated cargo"")",Yes,4,2,Golgi Associated Vesicle Biogenesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8874979"",""ACBD3 binds GOLGB1"")",Yes,"[5, 6, 19, 34]",4,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6814090"",""NatC acetylates ARFFRP1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5694413"",""SEC4C,D bind GOSR2 and STX5"")",20
Vesicle-mediated transport,Cargo concentration in the ER,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5694427"",""MIA3 binds procollagen VII"")",Yes,6,8,Scavenging by Class B Receptors,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2247512"",""Platelet glycoprotein IV:ligand (CD36:ligand) is endocytosed"")",Yes,[10],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6814675"",""RAB9 binds RHOBTB3, bringing late endosome-derived vesicles to the TGN"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8854290"",""TBC1D20 binds NS5A"")",19
Vesicle-mediated transport,Formation of annular gap junctions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-196026"",""Dab2 is recruited to the junctional plaques"")",Yes,7,1,RAB GEFs exchange GTP for GDP on RABs,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8876454"",""DENND3 exchanges GTP for GDP on RAB12"")",Yes,[2],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6814675"",""RAB9 binds RHOBTB3, bringing late endosome-derived vesicles to the TGN"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5694413"",""SEC4C,D bind GOSR2 and STX5"")",18
Vesicle-mediated transport,Scavenging of heme from plasma,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2168884"",""Ferriheme is transferred from Methemoglobin to Hemopexin"")",Yes,8,1,Scavenging of heme from plasma,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2230938"",""Hemoglobin:Haptoglobin:CD163 is endocytosed"")",Yes,[33],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5694427"",""MIA3 binds procollagen VII"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6809015"",""NSF ATPase activity dissociates cis-SNARE at cis-Golgi"")",17
Vesicle-mediated transport,Scavenging by Class A Receptors,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2173778"",""MSR1 (SCARA1, SR-A) binds ligands"")",Yes,9,1,Golgi Associated Vesicle Biogenesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-429815"",""Formation Of Bloc-1 Complex"")",Yes,"[5, 6, 19, 34]",4,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6814090"",""NatC acetylates ARFFRP1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8874979"",""ACBD3 binds GOLGB1"")",17
Vesicle-mediated transport,Scavenging by Class B Receptors,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2187264"",""Platelet glycoprotein IV (CD36) binds ligands"")",Yes,10,1,Scavenging of heme from plasma,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2230983"",""LRP1:Hemopexin:heme is endocytosed"")",Yes,"[8, 17, 24]",3,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6814090"",""NatC acetylates ARFFRP1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6811433"",""The COG tethering complex interacts with numerous SNAREs at the Golgi membrane"")",17
