ReactioneName,ReactionID,Category,Class,EntityName,UniprotID
Synthesis of PIP3 from PIP2 by PI3K,R-HSA-1433514,Input,SimpleEntity,UniProt:P06241 FYN,P06241
Synthesis of PIP3 from PIP2 by PI3K,R-HSA-1433514,Input,SimpleEntity,UniProt:P06239 LCK,P06239
Synthesis of PIP3 from PIP2 by PI3K,R-HSA-1433514,Input,SimpleEntity,UniProt:P12931-1 SRC,P12931
Synthesis of PIP3 from PIP2 by PI3K,R-HSA-1433514,Input,SimpleEntity,UniProt:P07947 YES1,P07947
Synthesis of PIP3 from PIP2 by PI3K,R-HSA-1433514,Input,SimpleEntity,UniProt:P07948 LYN,P07948
Synthesis of PIP3 from PIP2 by PI3K,R-HSA-1433514,Input,SimpleEntity,UniProt:P10721 KIT,P10721
Synthesis of PIP3 from PIP2 by PI3K,R-HSA-1433514,Input,SimpleEntity,UniProt:P21583-1 KITLG,P21583
Synthesis of PIP3 from PIP2 by PI3K,R-HSA-1433514,Input,SimpleEntity,UniProt:Q06124 PTPN11,Q06124
Synthesis of PIP3 from PIP2 by PI3K,R-HSA-1433514,Input,SimpleEntity,UniProt:P62993-1 GRB2,P62993
Synthesis of PIP3 from PIP2 by PI3K,R-HSA-1433514,Input,SimpleEntity,UniProt:P42336 PIK3CA,P42336
Synthesis of PIP3 from PIP2 by PI3K,R-HSA-1433514,Input,SimpleEntity,UniProt:Q92569 PIK3R3,Q92569
Synthesis of PIP3 from PIP2 by PI3K,R-HSA-1433514,Input,SimpleEntity,UniProt:O00459 PIK3R2,O00459
Synthesis of PIP3 from PIP2 by PI3K,R-HSA-1433514,Input,SimpleEntity,UniProt:P27986 PIK3R1,P27986
Synthesis of PIP3 from PIP2 by PI3K,R-HSA-1433514,Input,SimpleEntity,UniProt:Q9UQC2 GAB2,Q9UQC2
JAK2 binds to p-KIT,R-HSA-1433451,Input,EntityWithAccessionedSequence,UniProt:P06241 FYN,P06241
JAK2 binds to p-KIT,R-HSA-1433451,Input,EntityWithAccessionedSequence,UniProt:P06239 LCK,P06239
JAK2 binds to p-KIT,R-HSA-1433451,Input,EntityWithAccessionedSequence,UniProt:P12931-1 SRC,P12931
JAK2 binds to p-KIT,R-HSA-1433451,Input,EntityWithAccessionedSequence,UniProt:P07947 YES1,P07947
JAK2 binds to p-KIT,R-HSA-1433451,Input,EntityWithAccessionedSequence,UniProt:P07948 LYN,P07948
JAK2 binds to p-KIT,R-HSA-1433451,Input,EntityWithAccessionedSequence,UniProt:P10721 KIT,P10721
JAK2 binds to p-KIT,R-HSA-1433451,Input,EntityWithAccessionedSequence,UniProt:P21583-1 KITLG,P21583
JAK2 binds to p-KIT,R-HSA-1433451,Input,EntityWithAccessionedSequence,UniProt:O60674 JAK2,O60674
JAK2 binds to p-KIT,R-HSA-1433451,Input,Complex,UniProt:P06241 FYN,P06241
JAK2 binds to p-KIT,R-HSA-1433451,Input,Complex,UniProt:P06239 LCK,P06239
JAK2 binds to p-KIT,R-HSA-1433451,Input,Complex,UniProt:P12931-1 SRC,P12931
JAK2 binds to p-KIT,R-HSA-1433451,Input,Complex,UniProt:P07947 YES1,P07947
JAK2 binds to p-KIT,R-HSA-1433451,Input,Complex,UniProt:P07948 LYN,P07948
JAK2 binds to p-KIT,R-HSA-1433451,Input,Complex,UniProt:P10721 KIT,P10721
JAK2 binds to p-KIT,R-HSA-1433451,Input,Complex,UniProt:P21583-1 KITLG,P21583
JAK2 binds to p-KIT,R-HSA-1433451,Input,Complex,UniProt:O60674 JAK2,O60674
Phosphorylation of GAB2 by SFKs,R-HSA-1433454,Input,Complex,UniProt:Q9UQC2 GAB2,Q9UQC2
Phosphorylation of GAB2 by SFKs,R-HSA-1433454,Input,Complex,UniProt:P06241 FYN,P06241
Phosphorylation of GAB2 by SFKs,R-HSA-1433454,Input,Complex,UniProt:P06239 LCK,P06239
Phosphorylation of GAB2 by SFKs,R-HSA-1433454,Input,Complex,UniProt:P12931-1 SRC,P12931
Phosphorylation of GAB2 by SFKs,R-HSA-1433454,Input,Complex,UniProt:P07947 YES1,P07947
Phosphorylation of GAB2 by SFKs,R-HSA-1433454,Input,Complex,UniProt:P07948 LYN,P07948
Phosphorylation of GAB2 by SFKs,R-HSA-1433454,Input,Complex,UniProt:P10721 KIT,P10721
Phosphorylation of GAB2 by SFKs,R-HSA-1433454,Input,Complex,UniProt:P21583-1 KITLG,P21583
Phosphorylation of GAB2 by SFKs,R-HSA-1433454,Input,Complex,UniProt:Q06124 PTPN11,Q06124
Phosphorylation of GAB2 by SFKs,R-HSA-1433454,Input,Complex,UniProt:P62993-1 GRB2,P62993
Phosphorylation of GAB2 by SFKs,R-HSA-1433454,Input,SimpleEntity,UniProt:Q9UQC2 GAB2,Q9UQC2
Phosphorylation of GAB2 by SFKs,R-HSA-1433454,Input,SimpleEntity,UniProt:P06241 FYN,P06241
Phosphorylation of GAB2 by SFKs,R-HSA-1433454,Input,SimpleEntity,UniProt:P06239 LCK,P06239
Phosphorylation of GAB2 by SFKs,R-HSA-1433454,Input,SimpleEntity,UniProt:P12931-1 SRC,P12931
Phosphorylation of GAB2 by SFKs,R-HSA-1433454,Input,SimpleEntity,UniProt:P07947 YES1,P07947
Phosphorylation of GAB2 by SFKs,R-HSA-1433454,Input,SimpleEntity,UniProt:P07948 LYN,P07948
Phosphorylation of GAB2 by SFKs,R-HSA-1433454,Input,SimpleEntity,UniProt:P10721 KIT,P10721
Phosphorylation of GAB2 by SFKs,R-HSA-1433454,Input,SimpleEntity,UniProt:P21583-1 KITLG,P21583
Phosphorylation of GAB2 by SFKs,R-HSA-1433454,Input,SimpleEntity,UniProt:Q06124 PTPN11,Q06124
Phosphorylation of GAB2 by SFKs,R-HSA-1433454,Input,SimpleEntity,UniProt:P62993-1 GRB2,P62993
SHP2 interacts with p-KIT,R-HSA-205238,Input,Complex,UniProt:Q06124 PTPN11,Q06124
SHP2 interacts with p-KIT,R-HSA-205238,Input,Complex,UniProt:P06241 FYN,P06241
SHP2 interacts with p-KIT,R-HSA-205238,Input,Complex,UniProt:P06239 LCK,P06239
SHP2 interacts with p-KIT,R-HSA-205238,Input,Complex,UniProt:P12931-1 SRC,P12931
SHP2 interacts with p-KIT,R-HSA-205238,Input,Complex,UniProt:P07947 YES1,P07947
SHP2 interacts with p-KIT,R-HSA-205238,Input,Complex,UniProt:P07948 LYN,P07948
SHP2 interacts with p-KIT,R-HSA-205238,Input,Complex,UniProt:P10721 KIT,P10721
SHP2 interacts with p-KIT,R-HSA-205238,Input,Complex,UniProt:P21583-1 KITLG,P21583
SHP2 interacts with p-KIT,R-HSA-205238,Input,EntityWithAccessionedSequence,UniProt:Q06124 PTPN11,Q06124
SHP2 interacts with p-KIT,R-HSA-205238,Input,EntityWithAccessionedSequence,UniProt:P06241 FYN,P06241
SHP2 interacts with p-KIT,R-HSA-205238,Input,EntityWithAccessionedSequence,UniProt:P06239 LCK,P06239
SHP2 interacts with p-KIT,R-HSA-205238,Input,EntityWithAccessionedSequence,UniProt:P12931-1 SRC,P12931
SHP2 interacts with p-KIT,R-HSA-205238,Input,EntityWithAccessionedSequence,UniProt:P07947 YES1,P07947
SHP2 interacts with p-KIT,R-HSA-205238,Input,EntityWithAccessionedSequence,UniProt:P07948 LYN,P07948
SHP2 interacts with p-KIT,R-HSA-205238,Input,EntityWithAccessionedSequence,UniProt:P10721 KIT,P10721
SHP2 interacts with p-KIT,R-HSA-205238,Input,EntityWithAccessionedSequence,UniProt:P21583-1 KITLG,P21583
Indirect recruitment of GAB2 to p-KIT,R-HSA-205234,Input,EntityWithAccessionedSequence,UniProt:P06241 FYN,P06241
Indirect recruitment of GAB2 to p-KIT,R-HSA-205234,Input,EntityWithAccessionedSequence,UniProt:P06239 LCK,P06239
Indirect recruitment of GAB2 to p-KIT,R-HSA-205234,Input,EntityWithAccessionedSequence,UniProt:P12931-1 SRC,P12931
Indirect recruitment of GAB2 to p-KIT,R-HSA-205234,Input,EntityWithAccessionedSequence,UniProt:P07947 YES1,P07947
Indirect recruitment of GAB2 to p-KIT,R-HSA-205234,Input,EntityWithAccessionedSequence,UniProt:P07948 LYN,P07948
Indirect recruitment of GAB2 to p-KIT,R-HSA-205234,Input,EntityWithAccessionedSequence,UniProt:P10721 KIT,P10721
Indirect recruitment of GAB2 to p-KIT,R-HSA-205234,Input,EntityWithAccessionedSequence,UniProt:P21583-1 KITLG,P21583
Indirect recruitment of GAB2 to p-KIT,R-HSA-205234,Input,EntityWithAccessionedSequence,UniProt:Q06124 PTPN11,Q06124
Indirect recruitment of GAB2 to p-KIT,R-HSA-205234,Input,EntityWithAccessionedSequence,UniProt:P62993-1 GRB2,P62993
Indirect recruitment of GAB2 to p-KIT,R-HSA-205234,Input,EntityWithAccessionedSequence,UniProt:Q9UQC2 GAB2,Q9UQC2
Indirect recruitment of GAB2 to p-KIT,R-HSA-205234,Input,Complex,UniProt:P06241 FYN,P06241
Indirect recruitment of GAB2 to p-KIT,R-HSA-205234,Input,Complex,UniProt:P06239 LCK,P06239
Indirect recruitment of GAB2 to p-KIT,R-HSA-205234,Input,Complex,UniProt:P12931-1 SRC,P12931
Indirect recruitment of GAB2 to p-KIT,R-HSA-205234,Input,Complex,UniProt:P07947 YES1,P07947
Indirect recruitment of GAB2 to p-KIT,R-HSA-205234,Input,Complex,UniProt:P07948 LYN,P07948
Indirect recruitment of GAB2 to p-KIT,R-HSA-205234,Input,Complex,UniProt:P10721 KIT,P10721
Indirect recruitment of GAB2 to p-KIT,R-HSA-205234,Input,Complex,UniProt:P21583-1 KITLG,P21583
Indirect recruitment of GAB2 to p-KIT,R-HSA-205234,Input,Complex,UniProt:Q06124 PTPN11,Q06124
Indirect recruitment of GAB2 to p-KIT,R-HSA-205234,Input,Complex,UniProt:P62993-1 GRB2,P62993
Indirect recruitment of GAB2 to p-KIT,R-HSA-205234,Input,Complex,UniProt:Q9UQC2 GAB2,Q9UQC2
Phosphorylation of STATs,R-HSA-1470009,Input,SimpleEntity,UniProt:P06241 FYN,P06241
